Year,Destination,Total,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Republic of the Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2005,Liberia,36005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,..,..,..,..,..,..,..,..,..,55,..,..,..,..,38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4099,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45,..,..,..,155,..,146,1932,..,..,..,..,..,..,..,9376,365,..,..,..,..,..,..,103,..,..,..,..,..,..,32,..,..,..,..,..,..,..,..,..,..,555,..,..,..,..,..,..,..,..,..,..,266,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45,..,..,..,191,529,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48,..,..,14268,..,..,..,..,..,..,..,..,42,..,..,..,..,..,173,21,..,..,..,..,..,60,..,..,..,..,..,..,..,..,..,..,..,175,..,464,..,..,..,..,..,..,..,..,..,..,..
2005,Mali,124553,..,..,1223,..,..,119,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,908,..,..,..,..,..,..,..,..,..,10983,..,..,..,1027,..,..,..,549,..,..,..,122,..,..,..,..,7732,..,..,23421,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4760,..,..,8351,1093,..,..,4560,..,..,..,..,..,..,..,8228,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1165,..,..,..,..,..,..,..,..,..,..,..,..,2676,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2198,2917,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,198,..,..,..,..,..,..,..,..,..,..,4158,..,..,2399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1472,..,..,..,..,..,..,..,..,..,..,..,..,..,423,..,..,..,..,..,..,..,..,..,..,..
2005,Mauritania,25531,..,..,559,..,..,..,..,..,26,..,..,..,..,..,..,..,..,..,..,26,..,225,..,..,..,..,..,59,..,..,..,..,..,..,..,139,16,..,..,..,19,..,..,106,..,..,..,..,..,..,..,130,..,..,..,..,..,..,26,..,..,..,..,..,98,..,..,..,..,..,..,..,..,..,..,..,..,35,..,..,..,115,..,..,..,..,..,..,..,1656,667,..,..,..,..,..,..,..,..,..,36,..,..,..,24,..,..,..,..,..,..,16,..,..,..,55,..,..,59,..,..,..,..,..,..,..,3586,..,..,..,..,..,..,..,..,..,..,..,..,141,..,..,..,..,..,..,..,..,..,72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38,..,..,..,13,..,..,..,..,..,..,..,..,..,121,16201,..,..,..,..,..,..,..,..,..,..,..,32,..,64,..,..,..,..,..,65,..,..,..,..,75,..,..,..,111,..,..,..,..,..,..,32,..,..,44,..,..,..,..,..,..,..,..,..,..,..
2005,Niger,65291,..,..,182,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10970,..,..,..,..,..,..,..,..,..,8375,..,..,..,226,..,..,..,..,329,..,..,..,..,..,..,..,..,..,..,640,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,993,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68,..,..,..,..,..,..,..,22343,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9128,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,421,..,..,..,..,..,..,..,..,..,..,..,..,..,..,298,..,..,..,..,..,..,..,..,..,6457,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2005,Nigeria,404910,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118854,..,..,..,..,..,..,..,..,..,..,..,..,..,9080,..,..,..,..,9850,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75090,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6935,..,..,..,..,..,..,..,..,54353,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38065,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1374,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49872,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2005,Saint Helena,224,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,149,..,..,..,..,..,..,..,..,..,..,..,..,..
2005,Senegal,113444,..,..,2302,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1515,..,..,..,..,..,287,..,..,..,..,..,..,..,536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1137,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5953,..,..,..,2486,..,372,343,..,..,..,..,..,..,..,16260,13292,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,335,..,..,..,..,..,..,..,..,..,..,13061,..,..,..,24816,..,..,..,..,..,..,..,..,1819,..,..,..,..,..,..,..,..,..,690,192,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,642,..,..,..,6356,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,481,..,..,..,..,..,..,..,..,..,..,..,..,..,350,..,..,..,..,..,..,..,..,..,..,..
2005,Sierra Leone,69977,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,158,..,..,..,..,..,..,..,..,..,12,..,1,..,..,21,..,..,..,..,..,..,6,..,..,..,..,..,..,..,28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2380,..,60,424,..,..,..,..,..,..,..,30293,7,..,..,..,..,..,..,159,..,..,..,..,..,..,..,..,3,..,..,..,..,..,..,..,..,1036,..,32211,..,..,..,..,..,..,..,..,870,..,..,..,33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27,756,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,49,..,..,..,..,..,..,..,..,..,..,246,..,..,..,..,..,..,..,..,..,186,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,..,..,..,..,..,..,..,..,..,263,..,249,..,..,..,..,..,..,..,..,..,..,..
2005,Togo,100502,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,24242,..,..,..,..,..,..,..,..,..,5197,..,11,..,181,6,..,..,115,165,..,..,67,..,..,..,..,70,..,..,1189,..,..,..,..,..,..,279,..,..,..,..,..,..,..,27,..,..,..,..,..,..,..,504,..,..,286,333,..,67,17532,..,..,..,..,..,..,..,1055,50,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58,..,..,..,..,..,..,..,..,1886,..,..,..,56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22631,12721,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,771,..,..,..,..,..,..,..,13,..,318,..,..,37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,..,..,..,..,..,..,..,..,..,..,..
2005,ASIA,24099437,1590609,1925,20695,..,..,1078,..,..,20261,108054,23,24613,11223,277577,..,20642,2094010,..,73256,8286,..,..,..,56858,208,1252,3,156285,40,12348,261741,..,..,..,213024,18,25169,..,..,6,2298,..,1784,2076251,83712,49562,1432,..,..,..,28,3,186,94,..,5637,905,29867,266,3707,3,..,6,191,465360,3,..,4314,1477,61931,..,..,113,1979,38046,..,..,..,..,72154,263357,1024,..,44311,..,..,24,456,131,..,..,..,13,..,..,8619,49,2431224,1028905,53661,423204,1543,..,47932,8023,6,38869,118313,49097,1612,..,24351,15540,337660,4721,40000,..,..,13233,..,8363,30,3,3,605876,518,..,36,..,..,83,208,..,2295,..,..,3783,..,..,88146,6,766374,..,..,465234,17639,..,6325,3,16,4607,..,..,8283,5690,1056100,521,3,160,6,34014,566389,58397,1587,23,6075,369099,20038,..,78163,2140077,1,..,..,..,..,..,..,..,..,24216,28,1009,9,..,46084,..,246,81,..,39089,8606,3255,3504,265528,1334832,125240,54,48,4882,8838,241759,27959,73425,108846,37524,..,..,..,9,17730,54929,5076,..,..,416,346684,31459,103880,74,144618,13,3074,198382,..,326,128469,..,..,187751,469,122
2005,Central Asia,2830490,6949,..,73,..,..,..,..,..,..,12787,..,..,36,37675,..,..,..,..,56647,..,..,..,..,..,..,..,..,..,..,13,1831,..,..,..,..,..,24,..,..,..,..,..,..,1019,..,..,..,..,..,..,..,..,..,..,..,..,..,26976,..,53,..,..,..,..,..,..,..,..,1006,..,..,..,..,78,..,..,..,..,..,3960,102779,..,..,3254,..,..,..,..,..,..,..,..,..,..,..,..,..,236,..,2437,30,..,..,..,..,..,..,..,33533,..,..,..,11631,..,1241,..,..,..,..,..,3990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,..,59,..,13,..,..,..,..,20,53,..,..,..,..,..,..,15696,..,..,..,13527,7737,..,343,1984015,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,..,13791,..,..,..,..,..,..,..,..,20016,1798,..,..,..,250185,..,84,..,131,13,..,166187,..,..,54,..,..,..,13,..
2005,Kazakhstan,1629521,..,..,..,..,..,..,..,..,..,3254,..,..,..,18460,..,..,..,..,29951,..,..,..,..,..,..,..,..,..,..,..,1831,..,..,..,..,..,..,..,..,..,..,..,..,814,..,..,..,..,..,..,..,..,..,..,..,..,..,25985,..,..,..,..,..,..,..,..,..,..,509,..,..,..,..,..,..,..,..,..,..,1068,94075,..,..,3254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3051,..,457,..,..,..,..,..,1729,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12865,..,..,..,13273,4983,..,..,1134252,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6204,..,..,..,..,..,..,..,..,19069,356,..,..,..,148638,..,..,..,..,..,..,105443,..,..,..,..,..,..,..,..
2005,Kyrgyzstan,183353,..,..,..,..,..,..,..,..,..,1749,..,..,..,3452,..,..,..,..,9463,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,186,..,..,..,..,..,..,..,..,..,..,..,..,..,927,..,..,..,..,..,..,..,..,..,..,497,..,..,..,..,78,..,..,..,..,..,2567,2240,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11974,..,..,..,..,..,784,..,..,..,..,..,2261,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2811,..,..,..,254,2241,..,343,102330,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1582,..,..,..,..,..,..,..,..,579,864,..,..,..,25057,..,..,..,..,..,..,7160,..,..,54,..,..,..,..,..
2005,Tajikistan,159063,6949,..,73,..,..,..,..,..,..,122,..,..,36,108,..,..,..,..,411,..,..,..,..,..,..,..,..,..,..,13,..,..,..,..,..,..,24,..,..,..,..,..,..,19,..,..,..,..,..,..,..,..,..,..,..,..,..,64,..,53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,325,61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,236,..,577,30,..,..,..,..,..,..,..,447,..,..,..,5627,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,..,59,..,13,..,..,..,..,20,53,..,..,..,..,..,..,20,..,..,..,..,513,..,..,137686,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25,..,..,..,..,..,..,..,..,..,..,368,234,..,..,..,481,..,84,..,131,13,..,3962,..,..,..,..,..,..,13,..
2005,Turkmenistan,118645,..,..,..,..,..,..,..,..,..,4102,..,..,..,4529,..,..,..,..,1568,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1860,..,..,..,..,..,..,..,..,10728,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40959,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2739,..,..,..,..,..,..,49622,..,..,..,..,..,..,..,..
2005,Uzbekistan,739908,..,..,..,..,..,..,..,..,..,3560,..,..,..,11126,..,..,..,..,15254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5156,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10384,..,..,..,2953,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,568788,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6005,..,..,..,..,..,..,..,..,..,344,..,..,..,73270,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2005,Eastern Asia,3298193,..,..,..,..,..,..,..,..,1634,..,..,10819,294,..,..,..,7368,..,..,357,..,..,..,..,..,..,..,144117,..,..,1,..,..,..,3490,..,16128,..,..,..,..,..,..,1689061,54117,41480,..,..,..,..,..,..,..,..,..,..,4,79,..,256,..,..,..,..,818,..,..,..,..,..,..,..,..,315,5822,..,..,..,..,..,3857,967,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,23471,139999,2486,..,809,..,..,1622,..,18017,..,571,..,..,..,260,..,..,..,..,..,..,..,..,..,..,..,13650,..,..,..,..,..,..,..,..,1004,..,..,3668,..,..,..,..,137,..,..,4920,887,..,2730,..,..,1546,..,..,213,..,9641,..,..,..,..,32731,255082,504,1011,..,..,346948,..,..,..,8512,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6090,..,1,..,..,..,455,..,1158,8395,..,..,..,..,798,761,..,..,..,45889,..,..,..,..,..,..,63,..,..,..,..,..,..,17460,..,49885,..,1,2381,..,..,55045,..,..,..,..,..
2005,China,299027,..,..,..,..,..,..,..,..,..,..,..,1572,..,..,..,..,1711,..,..,..,..,..,..,..,..,..,..,24617,..,..,..,..,..,..,..,..,2526,..,..,..,..,..,..,..,47310,7441,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2781,19122,..,..,..,..,..,..,..,1999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1925,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1349,..,..,..,..,4468,30577,..,..,..,..,58702,..,..,..,963,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2624,..,..,..,..,..,..,..,..,..,5840,..,..,..,..,..,..,..,..,..,..,..,..,..,2545,..,8242,..,..,..,..,..,7716,..,..,..,..,..
2005,"China, Hong Kong SAR",1536114,..,..,..,..,..,..,..,..,..,..,..,3694,..,..,..,..,147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6609,..,..,..,..,..,..,1078752,..,34039,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,675,..,..,..,..,..,476,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8261,104741,..,..,263,..,..,216,..,6141,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7099,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4259,323,..,709,..,..,..,..,..,..,..,2731,..,..,..,..,..,99641,..,54,..,..,2517,..,..,..,65,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4800,..,..,..,..,..,..,..,178,451,..,..,..,..,..,197,..,..,..,14815,..,..,..,..,..,..,..,..,..,..,..,..,..,5976,..,5909,..,..,..,..,..,6014,..,..,..,..,..
2005,"China, Macao SAR",148921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124454,6762,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6016,..,718,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,813,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2005,Dem. People's Republic of Korea,20348,..,..,..,..,..,..,..,..,..,..,..,72,..,..,..,..,74,..,..,..,..,..,..,..,..,..,..,1095,..,..,..,..,..,..,..,..,114,..,..,..,..,..,..,10932,45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,132,839,..,..,..,..,..,..,..,81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64,..,..,..,..,203,1395,..,..,..,..,2324,..,..,..,49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97,..,..,..,..,..,..,..,..,..,259,..,..,..,..,..,..,..,..,..,..,..,..,..,107,..,375,..,..,..,..,..,300,..,..,..,..,..
2005,Japan,1088372,..,..,..,..,..,..,..,..,1634,..,..,5011,292,..,..,..,5226,..,..,357,..,..,..,..,..,..,..,118405,..,..,..,..,..,..,1378,..,5133,..,..,..,..,..,..,352904,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,256,..,..,..,..,818,..,..,..,..,..,..,..,..,308,4653,..,..,..,..,..,3067,967,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11554,12786,2486,..,545,..,..,1403,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4295,..,..,..,..,..,..,..,..,1004,..,..,..,..,..,..,..,..,..,..,..,564,..,1669,..,..,1402,..,..,213,..,5289,..,..,..,..,28060,107942,502,239,..,..,283035,..,..,..,4013,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1290,..,..,..,..,..,..,..,980,4671,..,..,..,..,798,559,..,..,..,21200,..,..,..,..,..,..,..,..,..,..,..,..,..,8240,..,26021,..,..,..,..,..,21457,..,..,..,..,..
2005,Mongolia,3899,..,..,..,..,..,..,..,..,..,..,..,32,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,18,..,..,..,..,..,..,936,..,..,..,..,..,..,..,..,..,..,..,..,4,79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,..,..,..,..,..,37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,18,..,..,..,1,..,..,3,..,103,..,195,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,2,..,..,..,370,..,..,..,1467,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,5,..,..,..,..,..,..,..,..,..,..,63,..,..,..,..,..,..,29,..,197,..,1,..,..,..,5,..,..,..,..,..
2005,Republic of Korea,201512,..,..,..,..,..,..,..,..,..,..,..,438,..,..,..,..,210,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2112,..,1728,..,..,..,..,..,..,121083,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,487,..,..,..,..,..,277,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,725,2511,..,..,..,..,..,..,..,9693,..,376,..,..,..,260,..,..,..,..,..,..,..,..,..,..,..,251,..,..,..,..,..,..,..,..,..,..,..,3668,..,..,..,..,137,..,..,661,..,..,352,..,..,144,..,..,..,..,208,..,..,..,..,..,9492,..,..,..,..,..,..,..,..,1955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,455,..,..,552,..,..,..,..,..,..,..,..,..,2962,..,..,..,..,..,..,..,..,..,..,..,..,..,563,..,9141,..,..,2381,..,..,19553,..,..,..,..,..
2005,Southern Asia,6570641,1507868,..,..,..,..,..,..,..,..,292,..,538,7,458,..,11406,1714681,..,..,..,..,..,..,56858,..,..,..,5595,..,10259,..,..,..,..,7366,..,1040,..,..,..,..,..,..,79816,..,..,..,..,..,..,..,..,..,..,..,59,..,..,..,10,..,..,..,..,32,..,..,..,..,..,..,..,110,20,803,..,..,..,..,..,1771,..,..,19,..,..,..,..,..,..,..,..,10,..,..,..,..,1347254,57589,2127,42380,..,..,9,1413,..,5979,72,2402,1404,..,3989,..,33063,..,192,..,..,7,..,..,..,..,..,98188,518,..,..,..,..,..,205,..,..,..,..,..,..,..,..,..,152273,..,..,340758,5,..,41,..,..,355,..,..,5395,86,626567,..,..,..,..,..,205,..,99,..,60,164,..,..,..,834,..,..,..,..,..,..,..,..,..,2722,..,..,6,..,6902,..,..,..,..,..,76,..,10,90834,..,..,..,..,49,106,18,12396,..,4341,..,..,..,..,..,..,491,121,..,..,413,..,7123,15816,..,19052,..,..,619,..,..,10547,..,..,..,395,..
